playername,teamname,position,KDA,solokill,KP,dpm,earned gpm,golddiffat15,xpdiffat15,csdiffat15,steal,FB,DPG,vspm,games_played
Cuzz,KT Rolster,jng,4.75,,68.67469879518072,287.4354,201.28308139534886,43.93023255813954,4.534883720930233,1.2093023255813953,0.13953488372093023,30.232558139534884,86.16549582854016,2.0661325581395347,43.0
Kiin,KT Rolster,top,4.140625,0.3023255813953488,53.21285140562249,468.36389767441864,274.0766930232558,434.3953488372093,376.2325581395349,8.976744186046512,,20.930232558139537,117.58322557280741,1.1734441860465117,43.0
Lehends,KT Rolster,sup,4.047058823529412,,69.07630522088354,171.00517441860464,105.15053488372092,-160.04651162790697,-137.3953488372093,1.4651162790697674,,30.232558139534884,71.99107159722703,2.7171837209302323,43.0
BuLLDoG,Kwangdong Freecs,mid,2.3783783783783785,0.17777777777777778,63.768115942028984,567.0129844444444,258.0801222222222,2.8,-95.86666666666666,-3.2444444444444445,,20.0,146.64126873439335,1.1205333333333334,45.0
DuDu,Kwangdong Freecs,top,2.0545454545454547,0.2,54.589371980676326,437.5029422222222,265.8014977777778,108.0,-23.955555555555556,4.377777777777778,,13.333333333333334,111.69079855208687,1.0081955555555555,45.0
Jun,Kwangdong Freecs,sup,2.360655737704918,,68.57142857142857,245.031025,107.74542916666667,9.5,304.8333333333333,-2.5416666666666665,,16.666666666666668,104.5204590202632,3.7481958333333334,24.0
Moham,Kwangdong Freecs,sup,2.7241379310344827,,77.45098039215686,199.98391428571426,96.28987619047618,-310.3333333333333,13.428571428571429,0.6666666666666666,,14.285714285714286,88.51573537292347,3.0367809523809526,21.0
Taeyoon,Kwangdong Freecs,bot,2.5535714285714284,,69.08212560386474,533.5435777777777,288.17299333333335,-238.66666666666666,-252.46666666666667,-1.3777777777777778,,13.333333333333334,130.28361828850052,1.400851111111111,45.0
YoungJae,Kwangdong Freecs,jng,2.9,,70.04830917874396,288.7671288888889,190.01019555555555,76.15555555555555,142.48888888888888,3.022222222222222,0.08888888888888889,17.77777777777778,89.69421813131,1.8450022222222222,45.0
Burdol,Liiv SANDBOX,top,2.43,0.3404255319148936,49.09090909090909,455.6580021276596,252.32857234042552,-308.9148936170213,-245.10638297872342,-6.276595744680851,,12.76595744680851,120.81758049894235,1.0790148936170214,47.0
Clozer,Liiv SANDBOX,mid,2.4745762711864407,0.3191489361702128,58.98989898989899,510.8860446808511,263.13742978723405,15.23404255319149,136.74468085106383,2.893617021276596,,14.893617021276595,130.9396674522169,1.069963829787234,47.0
Envyy,Liiv SANDBOX,bot,3.1683168316831685,,64.64646464646465,544.8326255319149,284.50879787234044,-38.48936170212766,144.4468085106383,4.659574468085107,,29.78723404255319,134.29984363753692,1.1135574468085108,47.0
Kael,Liiv SANDBOX,sup,3.77,,76.16161616161617,224.6195340425532,110.31362765957446,31.851063829787233,-111.93617021276596,-3.74468085106383,,36.170212765957444,94.89717856263977,3.4973765957446807,47.0
Willer,Liiv SANDBOX,jng,3.484848484848485,,69.6969696969697,282.3909765957447,194.7152234042553,-100.17021276595744,-25.06382978723404,4.574468085106383,0.10638297872340426,38.297872340425535,86.27946010628237,1.9401787234042553,47.0
Callme,Nongshim RedForce,mid,4.428571428571429,0.0,77.5,550.657475,261.161875,-838.5,-152.25,-8.5,,25.0,140.38719048591724,0.965525,4.0
DnDn,Nongshim RedForce,top,1.8849557522123894,0.2857142857142857,57.880434782608695,427.1439023809524,230.02037380952382,-577.047619047619,-147.97619047619048,-8.357142857142858,,14.285714285714286,119.8633080793184,1.0314166666666666,42.0
