playername,teamname,position,KDA,solokill,KP,dpm,earned gpm,golddiffat15,xpdiffat15,csdiffat15,steal,FB,DPG,vspm,games_played
Razork,Fnatic,jng,1.7804878048780488,,82.02247191011236,458.2151666666666,207.89066666666668,-282.8888888888889,134.88888888888889,1.6666666666666667,0.2222222222222222,11.11111111111111,135.97437147150805,1.6214000000000002,9.0
Rekkles,Fnatic,bot,3.176470588235294,,60.674157303370784,600.7697222222222,290.62331111111115,-881.0,-439.55555555555554,-4.444444444444445,,0.0,147.78827606499493,1.4430888888888889,9.0
Rhuckz,Fnatic,sup,2.9166666666666665,,78.65168539325843,154.09542222222223,89.7339,-575.3333333333334,57.44444444444444,-1.1111111111111112,,0.0,68.66730195429054,2.6926666666666663,9.0
Wunder,Fnatic,top,1.5517241379310345,0.0,50.561797752808985,402.4133555555556,224.41423333333333,-765.8888888888889,-751.7777777777778,-6.555555555555555,,0.0,115.35347694087032,1.1141222222222222,9.0
BrokenBlade,G2 Esports,top,4.766666666666667,0.42857142857142855,60.08403361344538,580.9135,284.0484071428572,268.92857142857144,-79.14285714285714,-3.9285714285714284,,14.285714285714286,140.4651863456961,0.94045,14.0
Caps,G2 Esports,mid,4.294117647058823,0.21428571428571427,61.34453781512605,552.7334642857143,292.65507142857143,145.64285714285714,95.64285714285714,-6.857142857142857,,21.428571428571427,130.9644070996979,1.0410357142857143,14.0
Hans Sama,G2 Esports,bot,6.173913043478261,,59.66386554621849,542.4793142857143,335.71097142857144,834.1428571428571,436.35714285714283,6.5,,21.428571428571427,118.64361542777151,1.0632285714285714,14.0
Mikyx,G2 Esports,sup,3.4545454545454546,,63.865546218487395,224.9755,128.46878571428573,44.92857142857143,22.071428571428573,8.071428571428571,,35.714285714285715,86.69545807453416,3.2246785714285715,14.0
Yike,G2 Esports,jng,5.612903225806452,,73.10924369747899,590.4818357142857,293.5452642857143,1116.4285714285713,906.8571428571429,19.642857142857142,0.14285714285714285,14.285714285714286,140.22793288042826,1.6466714285714286,14.0
Comp,KOI,bot,5.842105263157895,,68.94409937888199,630.9238307692308,325.25795384615384,14.615384615384615,-21.53846153846154,2.6923076923076925,,30.76923076923077,140.12766280807517,1.2999538461538462,13.0
Larssen,KOI,mid,4.185185185185185,0.0,70.1863354037267,585.6152384615384,279.22955384615386,158.07692307692307,121.0,2.769230769230769,,38.46153846153846,143.79773968369182,0.7894846153846153,13.0
Malrang,KOI,jng,3.7096774193548385,,71.42857142857143,326.1873384615385,174.0102,-122.6923076923077,-486.0769230769231,-12.846153846153847,0.23076923076923078,61.53846153846154,107.20682760152916,1.5698153846153846,13.0
Szygenda,KOI,top,2.933333333333333,0.3076923076923077,54.6583850931677,437.0518615384615,248.37965384615384,158.23076923076923,210.53846153846155,11.538461538461538,,15.384615384615385,116.67883234065523,1.3161615384615384,13.0
Trymbi,KOI,sup,5.36,,83.22981366459628,239.96515384615384,114.33972307692308,221.76923076923077,156.07692307692307,0.3076923076923077,,30.76923076923077,97.16815669469753,2.9688615384615384,13.0
Carzzy,MAD Lions,bot,4.2,,63.09012875536481,628.17840625,294.63575,113.8125,95.125,1.1875,,25.0,147.7810650887574,1.1736499999999999,16.0
Chasy,MAD Lions,top,3.9411764705882355,0.3125,57.51072961373391,518.32799375,260.04275624999997,171.9375,109.5,3.4375,,12.5,130.47294648919902,0.9778875,16.0
Elyoya,MAD Lions,jng,5.0,,70.81545064377683,332.728275,213.87596249999999,171.75,-53.25,1.625,0.0,37.5,95.71766299406154,1.9151500000000001,16.0
Hylissang,MAD Lions,sup,3.0576923076923075,,68.24034334763948,201.05093125000002,115.85069999999999,56.625,-52.625,1.25,,31.25,81.03960786720798,2.80163125,16.0
Nisqy,MAD Lions,mid,4.611111111111111,0.375,71.24463519313305,703.92253125,307.1314875,502.0625,282.1875,11.3125,,31.25,157.90156398735394,0.93526875,16.0
Doss,SK Gaming,sup,8.35,,82.26600985221675,218.61226666666664,116.69338666666665,85.0,291.8,-3.066666666666667,,13.333333333333334,88.84383003874696,2.4813133333333335,15.0
Exakick,SK Gaming,bot,5.178571428571429,,71.42857142857143,643.12762,340.99894,492.93333333333334,271.26666666666665,14.266666666666667,,6.666666666666667,137.97020412194922,1.56494,15.0
Irrelevant,SK Gaming,top,2.142857142857143,0.6666666666666666,51.724137931034484,522.31342,240.1283466666667,-351.6666666666667,96.13333333333334,-4.733333333333333,,13.333333333333334,142.23249993198576,1.0999333333333332,15.0
