playername,teamname,position,KDA,solokill,KP,dpm,earned gpm,golddiffat15,xpdiffat15,csdiffat15,steal,FB,DPG,vspm,games_played
Juhan,DRX,jng,2.3333333333333335,,76.7741935483871,239.74875,182.4932611111111,-103.44444444444444,-191.05555555555554,-3.5,0.0,16.666666666666668,76.10902985586038,1.7498222222222222,18.0
kyeahoo,DRX,mid,1.5833333333333333,0.1111111111111111,64.40677966101696,382.02299999999997,192.91507777777778,-795.4444444444445,-125.11111111111111,-8.222222222222221,,0.0,126.0453514739229,1.2244111111111111,9.0
Paduck,DRX,bot,2.7714285714285714,,70.12048192771084,559.3914837209303,285.169823255814,-330.6511627906977,-349.30232558139534,-9.651162790697674,,13.953488372093023,137.44315983624995,1.2318232558139535,43.0
Rascal,DRX,top,1.8984375,0.27906976744186046,58.55421686746988,437.85596744186046,245.9373511627907,-123.27906976744185,-169.88372093023256,-3.2790697674418605,,23.25581395348837,116.40121599974434,1.0520953488372093,43.0
Chovy,Gen.G,mid,6.981132075471698,0.23076923076923078,65.71936056838366,611.0751846153846,299.144741025641,369.43589743589746,233.15384615384616,9.435897435897436,,23.076923076923077,144.15172778344134,1.4629,39.0
Delight,Gen.G,sup,6.2153846153846155,,71.75843694493783,144.6671564102564,123.42728717948718,134.35897435897436,73.41025641025641,5.641025641025641,,41.02564102564103,57.12130926269614,3.081982051282051,39.0
Doran,Gen.G,top,3.9146341463414633,0.48717948717948717,57.01598579040853,535.5371769230769,294.5869794871795,379.38461538461536,147.89743589743588,1.7692307692307692,,30.76923076923077,124.47475678691866,0.9569641025641027,39.0
Peanut,Gen.G,jng,6.4576271186440675,,67.67317939609237,331.6655435897436,238.04841025641028,300.15384615384613,259.8974358974359,6.333333333333333,0.07692307692307693,46.15384615384615,90.71344532322374,1.770169230769231,39.0
Peyz,Gen.G,bot,6.813559322033898,,71.40319715808171,646.4240641025641,354.32894102564103,48.8974358974359,128.89743589743588,0.7948717948717948,,28.205128205128204,139.58939626435262,1.4405717948717949,39.0
Clid,Hanwha Life Esports,jng,3.823529411764706,,71.42857142857143,275.9544133333333,219.15605333333332,157.53333333333333,277.3333333333333,2.8666666666666667,0.26666666666666666,40.0,79.17873955960516,1.8154000000000001,15.0
Grizzly,Hanwha Life Esports,jng,3.984126984126984,,69.91643454038997,309.8996307692308,213.6692230769231,171.57692307692307,97.07692307692308,2.1153846153846154,0.11538461538461539,23.076923076923077,91.78532029124071,1.4530884615384614,26.0
Kingen,Hanwha Life Esports,top,3.6710526315789473,0.21951219512195122,51.57116451016636,491.7181365853658,259.4167536585366,-54.146341463414636,51.0,-3.1951219512195124,,12.195121951219512,126.85084714077288,1.1269829268292684,41.0
Life,Hanwha Life Esports,sup,3.6952380952380954,,71.71903881700554,142.83814146341464,111.91533414634146,-95.02439024390245,-8.024390243902438,-2.8780487804878048,,31.70731707317073,58.10810368795486,3.0203536585365853,41.0
Viper,Hanwha Life Esports,bot,4.868421052631579,,68.39186691312385,649.9394804878049,337.94498780487805,181.0,240.3170731707317,5.804878048780488,,26.829268292682926,141.90898415647644,1.656612195121951,41.0
Zeka,Hanwha Life Esports,mid,5.208333333333333,0.24390243902439024,69.31608133086876,580.2068170731708,304.3438512195122,208.6341463414634,113.34146341463415,2.1463414634146343,,24.390243902439025,132.3995588237966,1.2715853658536584,41.0
Aiming,KT Rolster,bot,9.122448979591837,,74.87437185929649,644.3919549999999,375.7171175,561.675,351.525,6.125,,27.5,128.01704397032233,1.333515,40.0
Bdd,KT Rolster,mid,7.155172413793103,0.125,69.5142378559464,570.2107925,284.72377500000005,60.1,-86.75,1.175,,27.5,137.03531098020696,1.091125,40.0
